PT_IDX,PT_NAME,PT_CATEGORY,PT_IMAGE,PT_CONTENT,PT_WRITER,PT_HIDDEN
12,바벨 불가리안 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_SPLIT_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/BB_SPLIT_SQT.gif","바벨을 어깨너비로 잡아 등 위에 올리고, 양발을 골반 너비로 벌리고 섭니다. | 한 쪽 다리를 뒤로 빼서 의자 위에 올려줍니다. | 무게를 앞다리에 실은 상태로, 뒷다리의 무릎이 직각이 될때까지 자세를 낮춥니다. 동작 중에 상체가 앞으로 기울지 않게 유의합니다. | 엉덩이에 힘을 주고 앞발로 무게를 지탱하면서 2번의 자세로 돌아옵니다.",,0
13,덤벨 불가리안 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_BULSPLIT_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/DB_BULSPLIT_SQT.gif","덤벨을 양손에 잡고 서서, 한 쪽 다리를 뒤로 빼서 의자 위에 올려줍니다. | 무게를 앞다리에 실은 상태로, 뒷다리의 무릎이 직각이 될때까지 자세를 낮춥니다. 동작 중에 상체가 앞으로 기울지 않게 유의합니다. | 엉덩이에 힘을 주고 앞발로 무게를 지탱하면서 2번의 자세로 돌아옵니다.",,0
14,덤벨 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_SPLIT_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/DB_SPLIT_SQT.gif","덤벨을 양손에 들고 상체를 곧게 편 상태로, 양발을 앞뒤로 벌리고 섭니다. | 시선은 정면을 향한 상태에서, 두 무릎이 90도를 이룰때까지 엉덩이를 낮춰 줍니다. | 무게중심을 어느 한방향으로 쏠리지 않게 유지하면서 무릎을 피며 올라옵니다.",,0
15,맨몸 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BW_SPLIT_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/BW_SPLIT_SQT.gif","양발을 앞뒤로 벌리고 상체를 곧게 펴고 섭니다. | 시선은 정면을 향한 상태에서, 두 무릎이 90도를 이룰때까지 엉덩이를 낮춰 줍니다. | 무게중심을 어느 한방향으로 쏠리지 않게 유지하면서 무릎을 피며 올라옵니다.",,0
16,에어 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/AIR_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/AIR_SQT.gif",다리를 어깨너비만큼 벌리고 허리를 펴고 곧게 섭니다. | 가슴을 편 상태로 엉덩이를 뒤로 빼며 앉습니다. (이때 양팔을 앞으로 벌려주면 균형을 잡기 쉽습니다.) | 발바닥으로 지면을 밀고 일어나면서 시작 자세로 돌아옵니다.,,0
17,점프 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/JUMP_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/JUMP_SQT.gif",다리를 어깨너비만큼 벌리고 허리를 펴고 곧게 섭니다. | 가슴을 편 상태로 엉덩이를 뒤로 빼며 앉습니다. (이때 양팔을 앞으로 벌려주면 균형을 잡기 쉽습니다.) | 복근에 힘을 주고 골반을 밀어 올리면서 최대한 높이 뛰어오릅니다. | 착지하면서 2번의 자세로 돌아갑니다.,,0
18,케틀벨 고블릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/KB_GOBLET_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/KB_GOBLET_SQT.gif","다리를 어깨너비 보다 넓게 벌리고, 두 손으로 케틀벨을 잡고 턱 아래 위치시킵니다. | 양손으로 잡은 중량을 고정시킨 상태에서, 엉덩이를 뒤로 빼면서 스쿼트 자세로 내려갑니다. | 발바닥으로 지면을 밀고 일어나면서 시작 자세로 돌아옵니다.",,0
19,루마니안 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/RM_BB_DL.png,https://burnfit.io/wp-content/uploads/2023/11/RM_BB_DL.gif","다리를 어깨 너비만큼 벌리고, 양손은 다리보다 살짝 넓게 벌려 바벨을 잡고 섭니다. | 시선은 전방을 향한 상태에서 바벨을 들어올려 골반 높이에 위치시킵니다. | 허리와 등을 편 상태로 상체를 숙여 바벨을 무릎 높이까지 천천히 내립니다. | 바벨이 내려간 역순서대로 들어올려 2번의 자세로 돌아갑니다.",,0
20,스모 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/SM_BB_DL.png,https://burnfit.io/wp-content/uploads/2023/11/SM_BB_DL.gif","발끝이 바깥을 향한 상태로 다리를 넓게 벌리고 바벨 앞에 섭니다. | 허벅지가 바닥에 수평이 될 때까지 엉덩이를 뒤로 뺀 상태에서, 양팔은 어깨너비보다 좁게 바벨을 잡습니다. | 복압을 유지한채로 엉덩이에 힘을 주며 다리를 펴줍니다. | 상체를 포함한 온몸이 펴지면 동작을 완료하고, 바벨이 올라온 역순서대로 바닥에 내려 시작 자세로 돌아갑니다.",,0
21,레그 프레스,하체,"https://burnfit.io/wp-content/uploads/2023/11/LEG_PRESS.png,https://burnfit.io/wp-content/uploads/2023/11/LEG_PRESS.gif","엉덩이와 허리가 의자에 완전히 붙도록 밀착하여 앉고, 두 발을 어깨 너비만큼 벌려줍니다. | 이때, 좁게 벌리면 허벅지 바깥쪽, 넓게 벌리면 안쪽으로 더 큰 자극을 줄 수 있습니다. | 안전핀을 제거하고, 중량의 자극을 느끼며 무릎을 굽혀줍니다. 엉덩이와 허리가 뜨지않을 깊이까지 중량판을 내립니다. | 복부에 힘을 유지한채로, 중량판을 지그시 밀어 올립니다.",,0
22,레그 컬,하체,"https://burnfit.io/wp-content/uploads/2023/11/LEG_CURL.png,https://burnfit.io/wp-content/uploads/2023/11/LEG_CURL.gif","머신에 엎드린 상태에서, 종아리 쪽의 패드가 아킬레스건 바로 위쪽에 위치하도록 머신을 조정합니다. | 발목을 세운 상태에서, 무릎을 굽혀 기구를 올려줍니다. | 허리, 엉덩이, 햄스트링에 긴장감을 유지하면서 기구를 천천히 내립니다.",,0
23,레그 익스텐션,하체,"https://burnfit.io/wp-content/uploads/2023/11/LGE_EXT.png,https://burnfit.io/wp-content/uploads/2023/11/LGE_EXT.gif","의자는 무릎 바로 아래에 올 수 있게, 패드는 발목 살짝 위에 위치할 수 있도록 머신을 조정합니다. | 엉덩이가 떨어지지 않게 유지하면서, 허벅지의 힘으로 고정부위를 지그시 밀어올립니다. | 근육의 긴장을 유지하면서 천천히 무릎을 굽혀줍니다.",,0
24,스탠딩 카프 레이즈,하체,"https://burnfit.io/wp-content/uploads/2023/11/STD_CALF_RAISE.png,https://burnfit.io/wp-content/uploads/2023/11/STD_CALF_RAISE.gif","어깨 위에 무게를 위치시키고, 양손으로 머신을 잡고 받침대 위에 섭니다. | 종아리의 힘을 이용하여 몸 전체를 위로 들어올립니다. | 종아리의 자극을 유지하면서 천천히 몸을 내려 시작 자세로 돌아옵니다.",,0
25,이너 싸이 머신,하체,"https://burnfit.io/wp-content/uploads/2023/11/INN_THIGH_MC.png,https://burnfit.io/wp-content/uploads/2023/11/INN_THIGH_MC.gif","허벅지 안쪽 받침대의 넓이를 적당하게 조절하고 머신에 앉습니다. | 호흡을 내쉬면서 양 다리를 안쪽으로 모아줍니다. (이때, 무릎을 닿게 한다는 생각으로 모아줍니다.) | 호흡을 들이마시면서 시작 자세로 돌아갑니다.",,0
26,런지,하체,"https://burnfit.io/wp-content/uploads/2023/11/LUNGE.png,https://burnfit.io/wp-content/uploads/2023/11/LUNGE.gif",양발을 골반 너비만큼 벌리고 상체를 곧게 펴고 섭니다. | 한쪽 다리를 뻗어 앞으로 나가면서 두 무릎이 90도 각도를 이룰 때까지 엉덩이를 낮춰줍니다. 이때 상체와 등은 곧게 편 자세를 유지합니다. | 앞발의 뒤꿈치에 무게 중심을 실어서 몸을 위쪽으로 밀어주며 원래 시작 자세로 돌아옵니다.,,0
27,스텝업,하체,"https://burnfit.io/wp-content/uploads/2023/11/STEP_UP.png,https://burnfit.io/wp-content/uploads/2023/11/STEP_UP.gif","몸을 곧게 펴고 구조물 앞에 섭니다. | 시선은 정면을 유지한 상태에서 한발을 구조물에 먼저 올리고, 올려놓은 다리의 힘으로 구조물 위로 올라섭니다. | 구조물 위에서 몸을 완전히 쭉 피고 섭니다. | 한발을 먼저 바닥으로 내린 뒤에 반대편 발도 내려 시작  자세로 돌아옵니다.",,0
28,중량 스텝업,하체,"https://burnfit.io/wp-content/uploads/2023/11/WEI_STEP_UP.png,https://burnfit.io/wp-content/uploads/2023/11/WEI_STEP_UP.gif","양손에 덤벨(혹은 케틀벨)을 잡고 구조물 앞에 섭니다. | 시선은 정면을 유지한 상태에서 한발을 구조물에 먼저 올리고, 올려놓은 다리의 힘으로 구조물 위로 올라섭니다. | 구조물 위에서 몸을 완전히 쭉 피고 섭니다. | 한발을 먼저 바닥으로 내린 뒤에 반대편 발도 내려 시작 자세로 돌아옵니다.",,0
29,힙 쓰러스트,하체,"https://burnfit.io/wp-content/uploads/2023/11/HIP_THRUST.png,https://burnfit.io/wp-content/uploads/2023/11/HIP_THRUST.gif","등 상부를 벤치에 기댄 상태에서 발바닥을 지면에 단단히 고정합니다. | 엉덩이 힘으로 몸을 윗 방향으로 밀어 올립니다. (이때, 허리가 과하게 꺾이지 않도록 주의합니다.) | 천천히 엉덩이를 내려 수축된 엉덩이 근육을 이완시킵니다.",,0
30,바벨 힙 쓰러스트,하체,"https://burnfit.io/wp-content/uploads/2023/11/WEI_HIP_THRUST.png,https://burnfit.io/wp-content/uploads/2023/11/WEI_HIP_THRUST.gif","바벨을 골반 위에 위치시킨 상태에서, 등 상부를 벤치에 기대고 발바닥을 지면에 고정합니다. | 엉덩이 힘으로 몸을 윗 방향으로 밀어 올립니다. (이때, 허리가 과하게 꺾이지 않도록 주의합니다.) | 천천히 엉덩이를 내려 수축된 엉덩이 근육을 이완시킵니다.",,0
31,브이 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/V_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/V_SQT.gif","머신에 허리를 붙인 상태에서 기본 스쿼트 보폭으로 곧게 섭니다. | 허리가 굽지 않도록 배에 힘을 준 상태로 다리가 ㄱ자 모양이 될때까지 내려갑니다. | 대퇴사두(허벅지)와 힙의 자극을 느끼면서, 양발바닥을 지그시 누르며 올라옵니다.",,0
32,리버스 브이 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/REV_V_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/REV_V_SQT.gif","머신을 어깨에 올린 상태에서 발판에 발을 짚고 섰을때 몸이 일직선이 되도록 자세를 잡습니다. | 이때 발은 어깨너비로 벌려줍니다. | 허리가 굽지 않도록 배에 힘을 준 상태로 다리가 ㄱ자 모양이 될때까지 내려갑니다. | 대퇴사두(허벅지)와 힙의 자극을 느끼면서, 양발바닥을 지그시 누르며 올라옵니다.",,0
33,글루트 킥백 머신,하체,"https://burnfit.io/wp-content/uploads/2023/11/GLUTE_KB_MC.png,https://burnfit.io/wp-content/uploads/2023/11/GLUTE_KB_MC.gif","발판에 서서 앞쪽의 손잡이를 잡고, 패드 위에 운동할 종아리의 뒷부분을 위치시킵니다. | 골반을 움직이지 않게 둔근에 집중하면서 다리를 뒤로 쭈욱 밀어줍니다. | 천천히 둔근에 자극을 느끼며 처음의 자세로 돌아옵니다.",,0
34,힙 어브덕션 머신,하체,"https://burnfit.io/wp-content/uploads/2023/11/HIP_ABD_MC.png,https://burnfit.io/wp-content/uploads/2023/11/HIP_ABD_MC.gif","의자에 앉아 무릎 바깥쪽에 패드를 밀착한 상태로 상체를 머신쪽으로 살짝 숙여줍니다. | 상,하체가 움직이지 않게 고정된 상태에서 엉덩이 바깥쪽 근육의 힘을 사용하여 양쪽 허벅지를 천천히 옆으로 벌려줍니다. | 바깥쪽 엉덩이에 자극을 느끼며 천천히 처음의 자세로 돌아옵니다.",,0
35,시티드 카프 레이즈,하체,"https://burnfit.io/wp-content/uploads/2023/11/SEAT_CALF_RAISE.png,https://burnfit.io/wp-content/uploads/2023/11/SEAT_CALF_RAISE.gif",발 받침대 위에 양발을 올리고 머신에 앉습니다. | 발 뒷꿈치를 최대한의 높이로 천천히 올려줍니다. 이때 종아리 근육을 쥐어짠다는 느낌으로 잠깐 멈춰줍니다. | 천천히 발 뒷꿈치를 내려 시작 자세로 돌아옵니다.,,0
36,정지 백 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/PAUSE_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/PAUSE_SQT.gif","다리를 어깨너비만큼 벌리고, 바벨을 등 뒤 어깨 위에 올려줍니다. | 상체가 앞으로 숙여지지 않도록 코어에 힘을 준 상태로 엉덩이를 뒤로 빼며 앉습니다. | 앉은 상태의 자세를 2~3초간 유지합니다. | 상체의 자세를 유지하면서, 발바닥으로 지면을 밀고 일어납니다.",,0
37,트랩바 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/TRAP_DL.png,https://burnfit.io/wp-content/uploads/2023/11/TRAP_DL.gif","양발을 어깨 너비만큼 벌리고, 내전근 개입을 위해 발을 바깥 방향으로 조금 벌려줍니다. | 등이 굽지 않도록 상체를 곧게 유지하면서, 무릎을 굽혀 트랩 바를 양손으로 잡아줍니다. | 이때 기존의 데드리프트 보다는 스쿼트 자세에 가깝게 무릎이 앞으로 굽혀줍니다. | 복압을 단단하게 유지한채로 발바닥으로 지면을 밀어올린다는 느낌으로 바를 들어 올립니다. | 바를 들어올린 역순서대로 바닥으로 내려 시작 자세로 돌아갑니다.",,0
38,케이블 힙 어브덕션,하체,"https://burnfit.io/wp-content/uploads/2023/11/CABLE_HIP_ABD.png,https://burnfit.io/wp-content/uploads/2023/11/CABLE_HIP_ABD.gif","케이블 머신 옆에서 한발로 몸을 지탱하고 선 상태로, 반대쪽 발목에 케이블을 연결합니다. | 케이블에 연결된 발을 상체의 옆 방향으로 최대한 높게 들어 올립니다. | 엉덩이의 자극을 느끼며 천천히 버티며 내립니다.",,0
39,핵 스쿼트 머신,하체,"https://burnfit.io/wp-content/uploads/2023/11/HACK_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/HACK_SQT.gif","기구의 발판에 올라가 양발의 간격을 스쿼트 간격(어깨너비 정도)으로 벌리고 섭니다. | 패드에 등과 어깨를 기댄 상태로 다리를 천천히 굽히면서 내려갑니다. 이때 둔근에 자극을 더 주고 싶다면 양발을 윗 부분에, 허벅지에 자극을 주고 싶다면 아랫 부분에 위치시킵니다. | 발바닥으로 발판을 지그시 누르면서 시작 자세로 돌아갑니다.",,0
40,정지 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/PAUSE_DL.png,https://burnfit.io/wp-content/uploads/2023/11/PAUSE_DL.gif","양발을 골반보다 약간 넓게 벌리고, 바벨의 그립을 어깨보다 조금 넓게하여 무릎과 팔이 겹치지 않도록 합니다. | 등이 굽지 않도록 상체를 곧게 유지하면서, 발바닥으로 지면을 밀어올린다는 느낌으로 바벨을 살짝 들어 올립니다. | 바벨이 바닥과 분리된 상태의 자세를 2~3초정도 유지합니다. | 복압을 단단히 유지한채 몸을 완전히 쭉 피며 엉덩이 근육을 수축합니다. | 바벨을 들어올린 역순서대로 바닥으로 내려 시작 자세로 돌아갑니다.",,0
41,정지 스모 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/PAUSE_SM_DL.png,https://burnfit.io/wp-content/uploads/2023/11/PAUSE_SM_DL.gif","발끝이 바깥을 향한 상태로 다리를 넓게 벌리고 바벨 앞에 섭니다. | 허벅지가 바닥에 수평이 될 때까지 엉덩이를 뒤로 뺀 상태에서, 양팔은 어깨너비보다 좁게 바벨을 잡습니다. | 복압을 유지한채로 엉덩이에 힘을 주며 다리를 펴줍니다. | 바벨이 바닥과 분리된 상태의 자세를 2~3초정도 유지합니다. | 상체를 포함한 온몸이 펴지면 동작을 완료하고, 바벨이 올라온 역순서대로 바닥에 내려 시작 자세로 돌아갑니다.",,0
42,바벨 박스 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_BOX_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/BB_BOX_SQT.gif","다리를 어깨 너비만큼 벌리고, 바벨을 등 뒤 어깨 위에 올려줍니다. | 상체가 앞으로 숙여지지 않도록 코어에 힘을 준 상태로 엉덩이를 뒤로 빼며 박스에 앉습니다. | 상체의 자세를 유지하면서, 발바닥으로 지면을 밀고 일어납니다.",,0
43,바벨 프론트 랙 런지,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_FR_LUNGE.png,https://burnfit.io/wp-content/uploads/2023/11/BB_FR_LUNGE.gif","양발을 골반 너비만큼 벌리고 상체를 곧게 핀 상태에서, 바벨을 쇄골 위에 올립니다. | 한쪽 다리를 뻗어 앞으로 나가면서 두 무릎이 90도 각도를 이룰 때까지 엉덩이를 낮춰줍니다. 이때 상체와 등은 곧게 편 자세를 유지합니다. | 앞발의 뒤꿈치에 무게 중심을 실어서 몸을 위쪽으로 밀어주며 원래 시작 자세로 돌아옵니다.",,0
44,바벨 점프 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_JUMP_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/BB_JUMP_SQT.gif","다리를 어깨너비만큼 벌리고, 바벨을 등 뒤 어깨 위에 올려줍니다. | 상체가 앞으로 숙여지지 않도록 코어에 힘을 준 상태로 스쿼트를 수행합니다. | 상체의 자세를 유지하면서, 발바닥으로 지면을 박차면서 점프합니다. | 점프하면서 펴졌던 무릎과 고관절을 다시 접으면서 스쿼트 자세를 취합니다. | 발이 땅에 닿기전에 무릎을 살짝 구부려서 하반신 전체로 중량을 분산시킬 수 있도록 주의합니다.",,0
45,바벨 런지,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_LUNGE.png,https://burnfit.io/wp-content/uploads/2023/11/BB_LUNGE.gif",양발을 골반 너비만큼 벌리고 바벨을 등뒤에 얹은 상태로 상체를 곧게 펴고 섭니다. | 한쪽 다리를 뻗어 앞으로 나가면서 두 무릎이 90도 각도를 이룰 때까지 엉덩이를 낮춰줍니다. 이때 상체와 등은 곧게 편 자세를 유지합니다. | 앞발의 뒤꿈치에 무게 중심을 실어서 몸을 위쪽으로 밀어주며 원래 시작 자세로 돌아옵니다.,,0
46,바벨 레터럴 런지,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_LAT_LUNGE.png,https://burnfit.io/wp-content/uploads/2023/11/BB_LAT_LUNGE.gif","양발을 골반 너비만큼 벌리고 바벨을 등뒤에 얹은 상태로 상체를 곧게 펴고 섭니다. | 한쪽 다리를 측면으로 크게 내딛은 후, 엉덩이를 뒤로 밀면서 앉습니다. | 내딛었던 한쪽 다리를 몸의 중앙으로 가져온 뒤, 반대쪽 다리를 동일한 방법으로 수행합니다.",,0
47,바벨 스플릿 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_SPLIT_SQT_REAL.png,https://burnfit.io/wp-content/uploads/2023/11/BB_SPLIT_SQT_REAL.gif","바벨을 등 뒤 어깨 위에 올려둔 상태로 양발을 앞뒤로 벌리고 섭니다. | 시선은 정면을 향한 상태에서, 두 무릎이 90도를 이룰때까지 엉덩이를 낮춰 줍니다. | 무게중심을 어느 한방향으로 쏠리지 않게 유지하면서 무릎을 피며 올라옵니다.",,0
48,바벨 스탠딩 카프 레이즈,하체,"https://burnfit.io/wp-content/uploads/2023/11/BB_STD_CALF_RAISE.png,https://burnfit.io/wp-content/uploads/2023/11/BB_STD_CALF_RAISE.gif","바벨을 등 뒤 어깨 위에 올려둔 상태로, 단차가 있는 받침대 위에 올라섭니다. | 양발을 골반 너비만큼 벌린 상태에서, 발 뒷꿈치가 바닥에 닿지 않게 위치합니다. | 뒷꿈치를 최대한의 높이로 천천히 올려줍니다. 이때 종아리 근육을 쥐어짠다는 느낌으로 잠깐 멈춰줍니다. | 천천히 발 뒷꿈치를 내려 시작 자세로 돌아옵니다.",,0
49,스티프 레그 데드리프트,하체,"https://burnfit.io/wp-content/uploads/2023/11/STIFF_DL.png,https://burnfit.io/wp-content/uploads/2023/11/STIFF_DL.gif","양발을 골반 너비만큼 벌린 상태에서, 양손으로 바벨을 잡고 곧게 섭니다. | 허리가 구부러지지 않도록 복압을 유지하면서, 엉덩이를 뒤로 빼면서 몸을 숙입니다. | 이때, 엉덩이와 허벅지 뒤쪽의 긴장감을 유지하며 천천히 움직입니다. | 허리가 각도를 유지할 수 있는 한도내에서 최대한 몸을 굽힙니다. | 이완된 엉덩이를 수축시킨다는 생각으로 몸을 세워 시작 자세로 돌아갑니다.",,0
50,맨몸 오버헤드 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/BW_OH_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/BW_OH_SQT.gif","다리를 어깨 너비만큼 벌린 상태에서, 양손을 위로 곧게 뻗고 섭니다. | 상체가 구부려지지 않도록 유지하면서 엉덩이를 낮추며 스쿼트를 합니다. | 발바닥으로 지면을 밀고 일어나면서 시작 자세로 돌아옵니다.",,0
51,덤벨 스모 스쿼트,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_SM_SQT.png,https://burnfit.io/wp-content/uploads/2023/11/DB_SM_SQT.gif","양손으로 덤벨을 잡고, 발끝이 바깥을 향한 상태로 다리를 넓게 벌리고 섭니다. | 팔꿈치를 펴고 등을 긴장시킨 상태로, 엉덩이를 뒤로 빼며 앉습니다. | 복압을 유지한채로 엉덩이에 힘을 주며 다리를 펴줍니다.",,0
52,덤벨 레그 컬,하체,"https://burnfit.io/wp-content/uploads/2023/11/DB_LEG_CURL.png,https://burnfit.io/wp-content/uploads/2023/11/DB_LEG_CURL.gif","벤치에 엎드린 상태에서 양발로 덤벨을 고정시켜줍니다. | 발목을 세운 상태에서, 무릎을 굽혀 덤벨을 올려줍니다. | 허리, 엉덩이, 햄스트링에 긴장감을 유지하면서 덤벨을 천천히 내립니다.",,0
